"filename", "language", "Markdown", "JSON", "JavaScript JSX", "Ignore", "JavaScript", "MS SQL", "TypeScript", "JSON with Comments", "TypeScript JSX", "YAML", "CSS", "XML", "HTML", "comment", "blank", "total"
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 13, 117
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 18, 199
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/floating-action-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 2, 7, 70
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 25, 177
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 8, 70
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 19, 235
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 12, 129
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 11, 118
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 6, 30
